n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
7,3,7,0.01,0.05,1,1.5,2,random,3,1571639239,2026-07-28T22:58:59.038498+00:00,2,500,500,0.00014400482177734375,0.0001201629638671875,0.0005028247833251953,0.00037407875061035156,0.0013952255249023438,6,1,7,4,6,False,5,0,2,2,0.5,1,1.0,5.0,True,
7,3,7,0.01,0.05,1,1.5,2,random,4,1507796375,2026-07-28T22:58:59.040263+00:00,2,500,500,9.894371032714844e-05,0.00011301040649414062,0.0004949569702148438,0.0005319118499755859,0.0014650821685791016,5,2,7,4,6,False,6,0,2,2,1.2,2,0.4,4.0,True,
7,3,7,0.01,0.05,1,1.5,2,linear_combination,0,560807473,2026-07-28T22:58:59.042061+00:00,2,500,500,9.608268737792969e-05,0.00011301040649414062,0.0005259513854980469,0.00045800209045410156,0.0014109611511230469,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,5.5,True,
7,3,7,0.01,0.05,1,1.5,2,linear_combination,1,870271422,2026-07-28T22:58:59.043824+00:00,2,500,500,0.00011396408081054688,0.00011515617370605469,0.0004947185516357422,0.0003459453582763672,0.0013148784637451172,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,4.5,True,
7,3,7,0.01,0.05,1,1.5,2,linear_combination,2,1845326255,2026-07-28T22:58:59.045458+00:00,2,500,500,0.00010013580322265625,0.00011801719665527344,0.00048089027404785156,0.00032401084899902344,0.001232147216796875,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,5.5,True,
7,3,7,0.01,0.05,1,1.5,2,linear_combination,3,1491661529,2026-07-28T22:58:59.047001+00:00,2,500,500,9.417533874511719e-05,0.00012183189392089844,0.0004971027374267578,0.0016391277313232422,0.0025739669799804688,6,1,7,4,6,False,8,0,2,2,0.7142857142857143,1,1.0,5.5,True,
7,3,7,0.01,0.05,1,1.5,2,linear_combination,4,656726975,2026-07-28T22:58:59.049928+00:00,2,500,500,0.00012111663818359375,0.00011706352233886719,0.0005109310150146484,0.0009987354278564453,0.002007007598876953,6,1,7,4,6,False,6,0,2,2,0.6,1,1.0,6.0,True,
7,3,7,0.01,0.05,1,1.5,2,local_search,0,2032835774,2026-07-28T22:58:59.052271+00:00,2,500,500,0.00010418891906738281,0.00011396408081054688,0.0005927085876464844,0.0001888275146484375,0.0012660026550292969,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,5.5,True,
7,3,7,0.01,0.05,1,1.5,2,local_search,1,1451440149,2026-07-28T22:58:59.053906+00:00,2,500,500,0.00011491775512695312,0.00014090538024902344,0.0007340908050537109,0.0002028942108154297,0.0015189647674560547,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,6.0,True,
7,3,7,0.01,0.05,1,1.5,2,local_search,2,1507983085,2026-07-28T22:58:59.055811+00:00,2,500,500,0.00010704994201660156,0.00011587142944335938,0.0004961490631103516,0.019224166870117188,0.02017521858215332,5,2,7,4,6,False,146,0,2,2,1.4689655172413794,2,0.5172413793103449,4.0,True,
7,3,7,0.01,0.05,1,1.5,2,local_search,3,787969013,2026-07-28T22:58:59.076458+00:00,2,500,500,0.00014972686767578125,0.00012302398681640625,0.0005252361297607422,0.00016689300537109375,0.0012359619140625,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,6.0,True,
7,3,7,0.01,0.05,1,1.5,2,local_search,4,1977017462,2026-07-28T22:58:59.078026+00:00,2,500,500,9.799003601074219e-05,0.00011277198791503906,0.0004851818084716797,0.00017309188842773438,0.001081705093383789,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,5.5,True,
7,3,7,0.01,0.05,1,1.5,3,random,0,2039091834,2026-07-28T22:58:59.079431+00:00,2,500,500,9.918212890625e-05,0.00011181831359863281,0.0005040168762207031,0.006042957305908203,0.00698399543762207,6,1,7,4,6,False,48,0,2,2,0.9574468085106383,1,1.0,4.5,True,
7,3,7,0.01,0.05,1,1.5,3,random,1,1235272916,2026-07-28T22:58:59.086789+00:00,2,500,500,0.00014209747314453125,0.00011992454528808594,0.000865936279296875,0.00015306472778320312,0.001611948013305664,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,4.5,True,
7,3,7,0.01,0.05,1,1.5,3,random,2,817635332,2026-07-28T22:58:59.088786+00:00,2,500,500,0.00011897087097167969,0.00011801719665527344,0.0004889965057373047,0.0011620521545410156,0.0020940303802490234,4,1,7,4,6,False,10,0,2,2,1.6666666666666667,3,0.5555555555555556,3.0,True,
7,3,7,0.01,0.05,1,1.5,3,random,3,1954821025,2026-07-28T22:58:59.091232+00:00,2,500,500,0.00011491775512695312,0.00012683868408203125,0.0004911422729492188,0.00018477439880371094,0.0011739730834960938,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,5.5,True,
7,3,7,0.01,0.05,1,1.5,3,random,4,1297664884,2026-07-28T22:58:59.092743+00:00,2,500,500,0.00011205673217773438,0.00011372566223144531,0.0004901885986328125,0.00017690658569335938,0.0011107921600341797,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,6.0,True,
