n,k,q,alpha,beta,weight_factor,seed,config_source,target_weight,v_weight,t_active,rows_qhat_correct,r_v_true,mean_est_r,rmax_90,coverage_90,rmax_95,coverage_95,rmax_99,coverage_99,elapsed_posterior_s,elapsed_hungarian_s,elapsed_estimate_s,error
128,64,29,0.01,0.05,1.1,20260941,grid,47,47,47,75,16,27.95381450114106,31,1,32,1,34,1,0.07490396499633789,0.3172030448913574,0.023691654205322266,
128,64,29,0.01,0.05,1.1,20260942,grid,47,47,47,75,25,29.37851071412964,33,1,34,1,35,1,0.07580304145812988,0.3339958190917969,0.023855209350585938,
128,64,29,0.01,0.05,1.1,20260943,grid,47,47,47,83,18,23.446571978508818,27,1,28,1,30,1,0.08836507797241211,0.31833410263061523,0.023350000381469727,
128,64,29,0.01,0.05,1.1,20260944,grid,47,47,47,68,20,27.86108659075446,31,1,32,1,34,1,0.08946990966796875,0.31822729110717773,0.024036884307861328,
128,64,29,0.01,0.05,1.1,20260945,grid,47,47,47,63,20,24.846126050897276,28,1,29,1,31,1,0.08618426322937012,0.3294336795806885,0.024158954620361328,
128,64,29,0.02,0.08,1.1,20260946,grid,47,47,47,41,29,33.88954724514438,37,1,38,1,40,1,0.08645296096801758,0.30619001388549805,0.024422168731689453,
128,64,29,0.02,0.08,1.1,20260947,grid,47,47,47,54,27,30.49769885888754,34,1,35,1,37,1,0.08454084396362305,0.3070950508117676,0.023873090744018555,
128,64,29,0.02,0.08,1.1,20260948,grid,47,47,47,48,29,32.54892504457133,36,1,37,1,39,1,0.08402585983276367,0.30626726150512695,0.023478984832763672,
128,64,29,0.02,0.08,1.1,20260949,grid,47,47,47,42,32,32.674079558704406,36,1,37,1,39,1,0.08212828636169434,0.30753374099731445,0.023562908172607422,
128,64,29,0.02,0.08,1.1,20260950,grid,47,47,47,45,35,34.01675320301726,37,1,38,1,40,1,0.08234500885009766,0.3078432083129883,0.023714065551757812,
128,64,127,0.01,0.03,1.1,20260951,grid,54,54,54,98,13,16.263347139854385,20,1,21,1,23,1,0.28875303268432617,0.5998380184173584,0.11040115356445312,
128,64,127,0.01,0.03,1.1,20260952,grid,54,54,54,95,9,16.233045769882295,20,1,21,1,23,1,0.2944192886352539,0.5962507724761963,0.11151909828186035,
128,64,127,0.01,0.03,1.1,20260953,grid,54,54,54,101,9,17.994579650540448,22,1,23,1,25,1,0.28763484954833984,0.6026809215545654,0.10923433303833008,
128,64,127,0.01,0.03,1.1,20260954,grid,54,54,54,102,7,17.362151910763185,21,1,22,1,24,1,0.2865281105041504,0.5973968505859375,0.1098630428314209,
128,64,127,0.01,0.03,1.1,20260955,grid,54,54,54,104,9,14.672350163422001,18,1,19,1,21,1,0.28604888916015625,0.6129660606384277,0.11063575744628906,
128,64,127,0.01,0.05,1.1,20260956,grid,54,54,54,81,19,25.524466829793866,29,1,31,1,33,1,0.3001279830932617,0.6368157863616943,0.11615514755249023,
128,64,127,0.01,0.05,1.1,20260957,grid,54,54,54,82,22,23.16297822659791,27,1,28,1,30,1,0.3109440803527832,0.6135959625244141,0.11030077934265137,
128,64,127,0.01,0.05,1.1,20260958,grid,54,54,54,70,24,21.27763138042995,25,1,26,1,29,1,0.3549799919128418,0.6146278381347656,0.10967588424682617,
128,64,127,0.01,0.05,1.1,20260959,grid,54,54,54,85,19,23.113909013485404,27,1,28,1,31,1,0.3091249465942383,0.623333215713501,0.1105051040649414,
